TSNE1,TSNE2
4.631395,-35.798946
55.923813,24.622114
21.300968,25.297321
30.038277,4.6258183
22.55573,28.533432
-5.683344,39.830235
16.201403,-35.79409
10.492148,-56.432175
-35.524914,29.278696
55.914726,24.593273
3.4149382,-35.439014
6.29161,39.477173
57.620926,-22.409637
64.94567,-16.530287
27.71176,28.667875
-19.020641,-4.000317
16.165049,-31.299297
19.918484,-32.646748
-0.7121711,2.49229
10.559117,71.153114
35.49045,12.347373
-26.883911,42.825283
9.898671,70.55046
10.979995,-63.5633
19.637146,25.895674
19.958963,28.052008
-7.632649,-2.056636
15.29883,-54.109657
19.63949,30.111713
-1.3201917,-57.09882
64.08677,18.035137
18.915174,31.03848
33.154064,8.029864
60.791695,-11.713885
-0.19426501,-9.103615
43.0269,17.887548
10.24084,69.49738
-46.06567,22.975506
54.40733,23.055557
-18.167032,-28.766926
18.167196,-31.25478
7.8144374,-2.3007424
8.800738,68.29618
-2.4353614,0.22434875
-27.709473,37.519726
-9.777821,-18.829052
12.014009,19.31754
-8.10739,33.462917
1.6058314,54.86925
40.077137,19.02737
-14.66561,-8.93113
-28.162153,45.477745
-5.381499,40.225067
-46.030113,-31.874235
19.695333,35.79837
22.365667,-30.637527
-32.740803,-23.219147
5.827224,-23.629478
54.522583,-27.565613
3.7867634,-62.52636
-20.669806,-29.40259
14.538629,-35.5288
-5.9030285,-26.800064
10.465667,-56.412918
-11.740198,-5.302214
63.234352,20.477333
-4.4072843,-27.369766
54.236164,-31.562061
-4.3566327,1.0576762
-44.392517,-24.580511
-43.707108,-23.00136
10.891863,-63.10304
-0.79131556,-17.336702
21.927332,-29.99052
-4.7891593,-29.719658
16.101606,-31.228603
-23.440584,45.064983
-21.65635,2.5786607
-35.712254,-28.319944
-45.999207,-31.649204
-68.1697,-13.527664
64.83668,-3.6933436
69.118515,-1.0536875
-44.4168,-24.67239
-3.2212744,44.85335
-28.146946,45.44441
-1.3431998,48.210117
18.822319,40.247425
-5.492749,-48.617405
-11.725181,-6.626076
-36.306606,-14.681809
59.77161,-9.117284
6.498592,-24.941671
69.35496,-3.8743656
17.154652,37.982246
5.9281106,2.3521574
5.3927684,-37.217575
9.787061,21.270987
-67.60474,-4.998291
67.727455,8.621714
-2.295417,-58.199932
-28.74148,34.93982
7.775513,65.64795
-38.289944,41.992897
0.9663939,44.23027
-3.1729803,44.85361
3.0033035,56.245724
-6.2584357,18.89054
58.5692,-20.764927
27.621752,-30.548702
-33.034855,32.62443
-7.2546124,-2.8018925
-0.9290412,2.071412
-37.115944,-29.358107
5.0673504,21.823408
-57.916077,13.58653
-21.033169,-20.05264
-34.377285,-21.485378
-20.923601,-33.119316
25.763735,-26.989187
61.261497,-16.50717
-8.7773485,1.4844569
20.128185,31.28816
6.3931403,-20.461843
-40.238155,-27.040249
54.830482,-26.640913
3.292715,-57.832027
-32.701393,41.903873
2.0448394,-54.96364
-39.31621,26.904772
-18.444551,-33.515785
-9.766281,13.67667
-36.118774,-21.832935
-28.149519,35.464634
-32.559795,42.51114
-8.560805,-19.903955
14.28446,-63.691944
-25.693464,42.853733
22.346111,-31.44652
-4.535049,-29.133997
-34.748993,46.17067
3.212572,65.39237
-9.65883,12.05728
-54.697643,7.119158
-47.968193,23.29261
18.715273,-48.426716
0.57800263,53.209507
29.934359,-38.47068
8.581692,-62.34712
29.331553,-37.712227
-38.586826,-17.157698
-6.2083454,18.864922
-7.5535903,-32.105988
15.275503,-64.98955
1.9213285,56.223114
-62.99865,4.698895
-64.603294,5.6025486
7.715595,-62.89226
19.243097,29.963305
67.512405,-0.863148
63.59012,-11.055098
1.0318516,-33.279125
14.575216,2.287224
40.65714,9.528486
-6.8038263,-23.638832
8.375501,-17.034483
-28.776648,36.269505
14.394992,-32.15687
20.948368,-30.789537
2.0610824,57.821537
-9.660528,1.93243
-39.335865,-22.751856
-40.86591,-19.187124
17.837088,-50.304142
-36.588444,40.63043
29.103292,5.836959
-27.407862,43.935593
-31.461264,-26.627598
4.7676067,-55.24044
-38.417866,-16.55625
17.317738,-52.962368
54.227375,-26.488056
-23.92296,44.98854
-4.4074574,-28.645477
10.115653,70.33672
10.604338,19.427643
-49.28114,21.69781
13.921556,-32.234703
-20.660196,-10.742707
-19.636349,-34.085224
-34.264034,30.871416
-29.115023,30.578527
-35.48548,-13.591349
71.74664,9.0131235
1.5510985,45.240593
1.3570879,-26.659775
-3.3470707,0.9694199
-22.80082,44.16764
64.84002,3.5581992
-19.85324,0.4364825
-28.119757,43.208652
25.050625,-13.030276
65.61119,-1.9626113
27.955524,-25.94137
-28.497833,-5.959863
18.885862,29.14175
-67.968925,-5.8440847
18.9923,-23.986397
-7.8230505,18.784487
-23.505667,45.05415
1.3131799,43.445007
-39.636765,26.274948
-6.6686554,-54.60601
-25.113987,41.07313
18.548676,-46.9095
-36.197723,-14.62372
3.8929422,65.3854
4.0865736,-17.020466
66.6475,17.930923
13.630674,7.6412787
30.47069,25.400038
63.361877,8.128926
-1.2660384,44.84102
56.59277,-11.284803
5.6130953,-2.3428643
0.053759545,12.718393
72.9888,7.883249
27.914791,-25.933666
19.131424,-26.062271
-32.10623,-8.0816
-28.530571,48.224743
10.45616,21.056555
40.255302,6.9732904
4.235238,60.49557
39.591175,7.5472865
68.60502,-4.2174244
4.2860413,-56.794308
-7.618575,33.490902
-4.6685963,0.9413957
54.386547,-32.822563
-19.74666,-16.56876
10.486644,-13.161207
-28.001957,-0.070754
-46.72477,22.94046
6.6491027,64.42577
-47.321697,23.518955
-53.173763,16.655544
31.83851,-32.178078
23.424318,-21.94577
-7.242597,15.544882
30.502035,25.580929
54.21416,-31.460142
3.05951,5.1496305
-29.152143,37.255962
-20.372845,-18.315733
68.46159,-3.5848289
46.918537,22.996122
3.5480485,-16.731777
8.046951,-2.759639
-9.51794,33.857185
-2.3811278,-25.123957
-8.446835,-6.995952
26.24892,29.578665
9.833281,69.428246
-43.697704,-22.983435
3.250818,65.07556
