model_name,params,mean_test_score,std_test_score,rank_test_score
ridge,{'model__alpha': 10},-34.718882160885606,6.194557993176559,1
lasso,{'model__alpha': 0.1},-34.67083855175725,6.230426576649204,1
linear,{'model__fit_intercept': False},-20184045678.05865,27197541436.43915,1
rf,"{'model__max_depth': None, 'model__n_estimators': 400}",-32.52062037090617,5.0683479698256,1
svr,"{'model__C': 10, 'model__epsilon': 0.2}",-48.03618281075863,8.589927389251049,1
gbr,"{'model__learning_rate': 0.1, 'model__n_estimators': 400}",-31.397396412133837,5.550300778754397,1
lasso,{'model__alpha': 0.01},-35.05645736274047,6.232851757435426,2
linear,{'model__fit_intercept': True},-140379292003.20804,178237599258.7423,2
gbr,"{'model__learning_rate': 0.05, 'model__n_estimators': 400}",-31.5682712130326,5.345709205059272,2
svr,"{'model__C': 10, 'model__epsilon': 0.1}",-48.04249257137324,8.591050773940792,2
rf,"{'model__max_depth': 20, 'model__n_estimators': 400}",-32.60436521050665,5.061096493766009,2
ridge,{'model__alpha': 1},-35.07552238870443,6.1876746026125735,2
gbr,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}",-31.69517257274057,5.425253564279522,3
lasso,{'model__alpha': 0.001},-35.18669451937652,6.196268151411924,3
ridge,{'model__alpha': 0.1},-35.19112856260581,6.190801424163795,3
rf,"{'model__max_depth': 10, 'model__n_estimators': 200}",-32.61109108838944,5.318617397388036,3
svr,"{'model__C': 1, 'model__epsilon': 0.2}",-65.97400326952537,7.929367828233763,3
svr,"{'model__C': 1, 'model__epsilon': 0.1}",-65.97649416817458,7.935218644454776,4
gbr,"{'model__learning_rate': 0.05, 'model__n_estimators': 200}",-32.147449821882375,5.290914600857077,4
rf,"{'model__max_depth': 20, 'model__n_estimators': 200}",-32.61879016049216,5.015353053502679,4
svr,"{'model__C': 0.5, 'model__epsilon': 0.1}",-72.7903561457247,7.508619758578575,5
rf,"{'model__max_depth': None, 'model__n_estimators': 200}",-32.650386022864055,4.9248820533360265,5
rf,"{'model__max_depth': 10, 'model__n_estimators': 400}",-32.66707698051888,5.2584602581560125,6
svr,"{'model__C': 0.5, 'model__epsilon': 0.2}",-72.79297197113314,7.509492990245298,6
